ID,Station Name,Latitude,Longitude,Number of Bikes
340,Main St at Brooks Park,42.411709,-71.110444,11
341,Medford Sq - Riverside Ave at River St,42.417724,-71.108102,11
342,Tufts Sq - Main St at Medford St,42.401697,-71.106128,11
343,Gore Street at Lambert Street,42.3730798,-71.08634234,19
344,Broad Canal Way at Third Street,42.3630455,-71.08287079,19
345,Malden Center T Station,42.426541,-71.073179,11
346,Northern Strand at Main St,42.42386,-71.067793,11
347,Gramsdorf Playground,42.408156,-71.0429,14
348,Teele Square,42.4008795,-71.12590793,15
349,North St at Liberty Hill Ave,42.52989965,-70.90614259,11
350,Malden High School,42.42653766,-71.06393695,11
351,Airport T Stop - Bremen St at Brooks St,42.37410288,-71.03276432,15
352,John Ahern Field at Kennedy-Longfellow School,42.36903567,-71.0863096,19
353,Everett Square (Broadway at Chelsea St),42.40743489,-71.05533242,14
354,87-101 Cambridgepark Drive,42.39522187,-71.14421904,23
355,Broadway T Stop,42.34304858,-71.0580343,19
356,Boynton Yards at 101 South Street,42.3754476,-71.09117389,19
357,Washington St at Myrtle St,42.3817508,-71.0839523,15
358,Clarendon Hill at Broadway,42.406302,-71.132446,15
359,Craigie at Summer St,42.38831608,-71.11068249,19
360,Beacon St at Washington / Kirkland,42.37875351,-71.10707223,19
361,Somerville City Hall Annex,42.39189812,-71.09745376,19
362,Elm St at White St,42.38952436,-71.1169414,19
363,Ball Sq,42.39936816,-71.11111522,19
364,Somerville Hospital,42.39044622,-71.10856622,15
365,Piers Park,42.3650112,-71.03528559,15
366,Glendon St at Condor St,42.38240378,-71.03024304,19
367,Addison St at Saratoga St,42.38518147,-71.0151367,19
368,Marion St at White St,42.38066931,-71.03907316,19
369,Burlington Ave at Brookline Ave,42.345733,-71.100694,15
370,Western Ave at Richardson St,42.36178741,-71.14393111,19
371,Washington St at Egremont Rd,42.34286835,-71.14127841,15
372,Canal St at Causeway St,42.36530095,-71.06092191,23
373,Broad St at Central St,42.35849449,-71.0542647,15
374,Blossom St at Charles St,42.36435589,-71.06959369,15
375,Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711,19
376,Arch St at Franklin St,42.35533502,-71.05822917,31
377,Uphams Corner,42.31727474,-71.06537004,15
378,Uphams Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,15
379,Walnut Ave at Warren St,42.324081,-71.083235,15
380,Morton St T,42.28072514,-71.08617242,15
381,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,15
382,E Cottage St at Columbia Rd,42.320561,-71.06198,19
383,Fields Corner T Stop,42.29963349,-71.06068976,15
384,Park St at Norwell St,42.29442579,-71.07821761,15
385,Thetford Ave at Norfolk St,42.28621295,-71.07942931,15
386,Archdale Rd at Washington St,42.29266593,-71.12119539,15
387,Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666,19
388,Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517,19
389,American Legion Hwy at Hyde Park Ave,42.27265394,-71.11990392,19
390,Knoll St at Centre St,42.29376656,-71.1365658,19
391,Bellevue T Stop,42.28611421,-71.14636928,19
392,Watertown Town Hall,42.36759308,-71.18751436,11
393,Salem Ferry Landing,42.52189284,-70.88069111,11
394,Centre St at Washington St,42.35574335,-71.18641943,11
395,Washington St at Fuller St,42.28198628,-71.07147925,15
396,Washington St at Crafts St,42.35389024,-71.19943707,11
397,Washington St at Bowdoin St,42.29916498,-71.07345872,15
398,Bacon St at Washington St,42.35711921,-71.18604537,11
399,Nonantum Library,42.36068456,-71.201462,15
400,Washington St at Walsh Playground,42.2771947,-71.06955614,19
401,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,15
402,Adams St at Lonsdale St,42.29167943,-71.05726346,15
