Name,Review Count,Ratings,Bike Station Id,Category
Top Of The Hill Seafood And Subs,12,2.5,20,Restaurant
Mattapan House Of Pizza,46,2.5,20,Restaurant
Golden Krust,35,2.5,20,Restaurant
Pelloma Nigerian Cuisine,7,4.0,20,Restaurant
Citrus And Salt,845,4.0,21,Restaurant
The Salty Pig,1833,4.0,21,Restaurant
Barcelona Wine Bar South End,1368,4.5,21,Restaurant
The Friendly Toast,2624,4.5,21,Restaurant
Myers And Chang,1835,4.0,21,Restaurant
Coppa Enoteca,1001,4.0,21,Restaurant
Bootleg Special,1019,4.0,21,Restaurant
The Elephant Walk,270,4.5,21,Restaurant
KAVA NEOTAVERNA,446,4.5,21,Restaurant
Saltie Girl,1856,4.0,21,Restaurant
Black Lamb,232,4.0,21,Restaurant
Csmica,132,4.0,21,Restaurant
The Banks Fish House,198,4.5,21,Restaurant
Mike And Patty's - Boston,2060,4.5,21,Restaurant
Wink And Nod,485,4.0,21,Restaurant
Contessa,352,4.0,21,Restaurant
Gigi,30,4.5,21,Restaurant
Ostra,553,4.5,21,Restaurant
Franklin Cafe,543,4.0,21,Restaurant
4Th Wall Restaurant And Bar,147,4.0,21,Restaurant
SOJUBA,490,4.0,22,Restaurant
Cheeky Monkey Brewing,284,4.0,22,Restaurant
Pescador,46,4.5,22,Restaurant
Eventide - Fenway,414,4.0,22,Restaurant
The Kenmore,53,4.5,22,Restaurant
Citizen Public House And Oyster Bar,717,3.5,22,Restaurant
Audubon Boston,236,4.0,22,Restaurant
Tasty Burger,1253,4.0,22,Restaurant
Wow Tikka,26,5.0,22,Restaurant
Time Out Market Boston,395,3.5,22,Restaurant
Bab Alyemen Boston Restaurant,59,4.5,22,Restaurant
Yard House,927,3.5,22,Restaurant
Tenderoni's,30,3.5,22,Restaurant
Sweet Cheeks Q,1695,3.5,22,Restaurant
El Peln Taquera,1180,4.0,22,Restaurant
Hojoko Boston,466,3.5,22,Restaurant
Saloniki Greek,501,4.0,22,Restaurant
Thaitation,363,4.0,22,Restaurant
Phinista,193,4.5,22,Restaurant
Cava,169,4.5,22,Restaurant
Boston Soup Dumplings,11,4.5,23,Restaurant
Coreanos Allston,573,4.5,23,Restaurant
Turkish Lazuri Cafe,74,4.5,23,Restaurant
Lulu's Allston,576,4.0,23,Restaurant
Hao Shi Guang,17,4.5,23,Restaurant
Seoul Jangteo,156,4.0,23,Restaurant
NAKSAN BBQ,137,4.0,23,Restaurant
Rail Stop Restaurant And Bar,192,4.0,23,Restaurant
Laughing Monk Cafe,19,4.5,23,Restaurant
Lone Star Taco Bar,576,4.0,23,Restaurant
Seoul Soulongtang,591,4.0,23,Restaurant
Cafe Weekend,133,4.5,23,Restaurant
Kaju Tofu House,731,4.0,23,Restaurant
Yoma Boston,358,4.0,23,Restaurant
Carlo's Cucina Italiana,765,4.5,23,Restaurant
Kimchipapi Kitchen,260,4.5,23,Restaurant
Hopewell Bar And Kitchen,274,4.0,23,Restaurant
Seoul Topokki,149,4.0,23,Restaurant
Dolphin Bay,568,4.5,23,Restaurant
The Avenue,426,4.0,23,Restaurant
Row 34,1705,4.0,24,Restaurant
City Tap House,628,4.0,24,Restaurant
Publico Street Bistro And Garden,287,4.5,24,Restaurant
Alma Gaucha,111,4.5,24,Restaurant
Mecha Noodle Bar,77,4.0,24,Restaurant
Yankee Lobster,2084,4.0,24,Restaurant
Pete's Dockside,130,4.5,24,Restaurant
Mooo Seaport,47,4.5,24,Restaurant
Lolita Cocina And Tequila Bar,2288,4.0,24,Restaurant
Cocorico Boulangerie,11,4.0,24,Restaurant
Kestra,14,4.0,24,Restaurant
Woods Hill Pier 4,200,4.0,24,Restaurant
Seaport Social,14,3.5,24,Restaurant
Bartaco Seaport,688,4.0,24,Restaurant
Committee,820,4.0,24,Restaurant
Ocean Prime,647,4.0,24,Restaurant
Miznon,61,4.0,24,Restaurant
Coquette,152,3.5,24,Restaurant
GRECO,120,4.5,24,Restaurant
Nautilus Pier 4,98,4.0,24,Restaurant
Hummingbird Grill,1,5.0,25,Restaurant
Country Kitchen,42,3.0,25,Restaurant
Fresh Food Generation,29,4.5,25,Restaurant
Landc Spanish Restaurant,6,4.0,25,Restaurant
Only One Jamaican Restaurant,90,3.5,25,Restaurant
Sun Pizza,24,2.5,25,Restaurant
Renos Pizza,27,3.5,25,Restaurant
Top Griyo Restaurant,3,3.5,25,Restaurant
Giddy Up,8,2.5,25,Restaurant
Island Style,34,3.5,25,Restaurant
Nu Flav Restaurant,14,2.5,25,Restaurant
Stash's Pizza,83,2.5,25,Restaurant
Santo Domingo Restaurant And Cafeteria,31,3.5,25,Restaurant
Vaughan Fish And Chips,17,3.5,25,Restaurant
La Esquina Restaurant,1,1.0,25,Restaurant
Greek Pizza,11,1.5,25,Restaurant
Stalex,52,3.0,25,Restaurant
Yo Momma,2,3.0,25,Restaurant
Bon Appetit Restaurant,35,1.5,25,Restaurant
Yong Hon Restaurant,6,2.5,25,Restaurant
Next Step Soul Food Cafe,50,4.5,26,Restaurant
El Barrio Mexican Grill,329,4.0,26,Restaurant
Via Cannuccia,5,5.0,26,Restaurant
Jp Roti Shop,41,4.0,26,Restaurant
China Station,68,4.0,26,Restaurant
Taste Of Eden,36,3.5,26,Restaurant
Fresh Food Generation,29,4.5,26,Restaurant
Shaking Seafood,39,4.0,26,Restaurant
Tavolo,220,3.5,26,Restaurant
Raphael's Restaurant,26,3.5,26,Restaurant
Only One Jamaican Restaurant,90,3.5,26,Restaurant
Caribe Restaurant,3,3.5,26,Restaurant
