Name,Bike Station Id,Category
The Joint,5,"['Burger Joint', 'American Restaurant']"
City Feed & Supply,5,"['Deli', 'Sandwich Restaurant']"
Sate Asian Grill,5,['Asian Restaurant']
Green Diner,5,"['Diner', 'Italian Restaurant']"
Jeanie Johnston Pub,5,"['Karaoke Bar', 'Sports Bar', 'American Restaurant']"
Robinwood Cafe & Grille,5,"['Diner', 'American Restaurant', 'New American Restaurant']"
JPizle Kitchen,5,"['American Restaurant', 'Colombian Restaurant']"
Egleston House Of Pizza,5,['Pizzeria']
New York Fried Chicken,5,"['Fried Chicken Joint', 'American Restaurant', 'Fast Food Restaurant']"
Italian Pizza and Subs,5,['Restaurant']
McDonald's,5,"['Burger Joint', 'Fast Food Restaurant']"
il Panino Cafe and Grill,6,"['Pizzeria', 'Italian Restaurant', 'Sandwich Restaurant']"
Jamaica Mi Hungry,6,['Caribbean Restaurant']
Jelly Coffee Shop,6,"['Coffee Shop', 'Caribbean Restaurant']"
Young Kong Restaurant,6,['Chinese Restaurant']
Latino Restaurant,6,"['Latin American Restaurant', 'Mexican Restaurant']"
Cappy's Pizza & Subs,6,['Pizzeria']
Tori Japan,6,['Japanese Restaurant']
Gondres Bakery,6,"['Bakery', 'Sandwich Restaurant']"
No Name Restaurant,6,['Restaurant']
Rizzo's Pizza,6,['Pizzeria']
Old Havana,6,"['Caribbean Restaurant', 'Cuban Restaurant']"
Alex's Chimis,6,"['Caribbean Restaurant', 'Cuban Restaurant', 'Fast Food Restaurant']"
Fort Hill Bar & Grill,6,"['Bar', 'BBQ Joint', 'Burger Joint']"
Top Mix Bar and Kitchen JP,6,['Latin American Restaurant']
Ethiopian Cafe,6,['Restaurant']
The Living Room,6,"['Bar', 'American Restaurant', 'Seafood Restaurant']"
Miami Restaurant,6,"['Cuban Restaurant', 'Mexican Restaurant', 'Spanish Restaurant']"
Massive Restaurant Group,6,"['Pizzeria', 'Sandwich Restaurant']"
Pikalo,6,"['Empanada Restaurant', 'Sandwich Restaurant']"
Brendan Behan Pub,6,"['Pub', 'American Restaurant']"
Chilacates,6,['Mexican Restaurant']
Blue Nile,6,"['African Restaurant', 'Ethiopian Restaurant']"
Cocina Abreu,6,['Mexican Restaurant']
Food Wall Chinese Restaurant,6,['Chinese Restaurant']
City Feed & Supply,6,"['Deli', 'Sandwich Restaurant']"
Egleston House Of Pizza,6,['Pizzeria']
McDonald's,6,"['Burger Joint', 'Fast Food Restaurant']"
The Haven,6,"['Bar', 'Gastropub', 'Scottish Restaurant']"
Lucky Boston Chinese Restaurant,6,['Chinese Restaurant']
Tea Bar by EvyTea,6,['Restaurant']
Genji,6,['Sushi Restaurant']
El Oriental De Cuba,6,['Restaurant']
New York Fried Chicken,6,"['Fried Chicken Joint', 'American Restaurant', 'Fast Food Restaurant']"
Anshur Restaurant,6,['Restaurant']
Ashur Restaurant,6,['African Restaurant']
Samuel Adams Brewery,6,"['Brewery', 'Restaurant']"
Milky Way Lounge & Lanes,6,"['Bar', 'Italian Restaurant']"
Ula Cafe,6,"['Coffee Shop', 'American Restaurant', 'Sandwich Restaurant']"
MR Tamole,6,['Mexican Restaurant']
D & D Restaurant,6,"['Latin American Restaurant', 'South American Restaurant']"
Cafe Spice MIT,7,['Restaurant']
Pai Kin Kao,7,"['Ramen Restaurant', 'Noodle Restaurant', 'Thai Restaurant']"
Coast Cafe,7,"['BBQ Joint', 'American Restaurant', 'Southern / Soul Food Restaurant']"
Andala Coffee House,7,"['Burger Joint', 'Coffee Shop', 'Middle Eastern Restaurant']"
Alive & Kicking Lobsters,7,"['Sandwich Restaurant', 'Seafood Restaurant']"
India Pavilion,7,['Indian Restaurant']
Subway,7,"['Deli', 'Fast Food Restaurant']"
Dimitrios Cuisine,7,"['Pizzeria', 'Fast Food Restaurant', 'Italian Restaurant']"
Rangzen Tibet Restaurant,7,"['Buffet', 'Asian Restaurant', 'Chinese Restaurant']"
Taqueria,7,['Mexican Restaurant']
Chipotle Mexican Grill,7,"['Fast Food Restaurant', 'Mexican Restaurant']"
Tavern,7,"['Bar', 'Pizzeria', 'American Restaurant']"
"730 Tavern, Kitchen & Patio",7,['Restaurant']
Mass Chicken,7,"['Diner', 'Middle Eastern Restaurant', 'Wings Joint']"
Flour Bakery + Cafe,7,"['Bakery', 'Dessert Shop', 'Sandwich Restaurant']"
Caffe Nero,7,"['Bakery', 'Coffee Shop', 'Sandwich Restaurant']"
Shanghai Fresh,7,"['Asian Restaurant', 'Shanghai Restaurant']"
1369 Coffee House,7,"['Coffee Shop', 'American Restaurant', 'Sandwich Restaurant']"
Go! Go! Curry,7,"['Comfort Food Restaurant', 'Fast Food Restaurant', 'Japanese Curry Restaurant']"
Brookline Lunch,7,"['Diner', 'American Restaurant', 'Middle Eastern Restaurant']"
Phoenix Landing,7,"['Night Club', 'Sports Bar', 'American Restaurant']"
Thelonious Monkfish,7,"['Asian Restaurant', 'Sushi Restaurant', 'Thai Restaurant']"
Life Alive,7,['Vegan and Vegetarian Restaurant']
Brick & Mortar,7,"['Cocktail Bar', 'Gastropub', 'American Restaurant']"
Viale,7,"['Bar', 'Italian Restaurant', 'Mediterranean Restaurant']"
Monroe,7,"['Lounge', 'American Restaurant', 'Asian Restaurant']"
Donut Villa Diner,7,"['Donut Shop', 'Diner']"
Clover HFI,7,"['Fast Food Restaurant', 'Sandwich Restaurant', 'Vegan and Vegetarian Restaurant']"
Sapporo Ramen,7,"['Ramen Restaurant', 'Sushi Restaurant', 'Noodle Restaurant']"
Middleast Restaurant,7,"['Burger Joint', 'Mexican Restaurant']"
Tasty Burger,7,['Burger Joint']
Happy Lamb Hot Pot,7,"['Asian Restaurant', 'Chinese Restaurant', 'Hotpot Restaurant']"
Middle East Restaurant - Zuzu,7,['Restaurant']
Little Donkey,7,"['American Restaurant', 'Seafood Restaurant', 'Tapas Restaurant']"
Veggie Galaxy,7,['Restaurant']
Bytes At University Park Mit,7,"['Deli', 'Falafel Restaurant']"
Elstar Therapeutics,7,['Restaurant']
McDonald's,7,"['Burger Joint', 'Fast Food Restaurant']"
Bisuteki Japanese Steak House,7,"['Sushi Restaurant', 'Steakhouse']"
Muku Ramen,7,['Ramen Restaurant']
New City Microcreamery,7,"['Ice Cream Parlor', 'Restaurant']"
Mass Ave Diner,7,"['Burger Joint', 'Diner', 'American Restaurant']"
The Plough and Stars,7,"['Music Venue', 'Pub', 'American Restaurant']"
Toscanini's Ice Cream,7,"['Coffee Shop', 'Ice Cream Parlor', 'American Restaurant']"
Pammy's,7,"['American Restaurant', 'French Restaurant', 'Italian Restaurant']"
Miracle of Science Bar & Grill,7,"['Bar', 'Burger Joint', 'American Restaurant']"
Darwin's,7,"['Café', 'Deli', 'Sandwich Restaurant']"
Roxy's Central,7,"['Burger Joint', 'Hot Dog Joint', 'Sandwich Restaurant']"
Aramark Corporation,7,['Restaurant']
Dumpling House,7,['Dim Sum Restaurant']
Liberty Diner,8,"['Diner', 'American Restaurant']"
