Station Name,Latitude,Longitude,Number of Bikes,Station ID,Number of Restaurants,Number of Rentals,Average Restaurant Rating,Average Rental Rating
Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,15,96a2904d35d1297555d1d66c435ab29a,49,5,3.966666666666667,2.0
New Balance - 20 Guest St,42.35732921867706,-71.14673539996147,15,fa4feed48aece06cb19271e25dd799f3,47,8,4.071428571428571,2.0
Encore,42.39329263225162,-71.0724475979805,15,242c0790744799251df7beca0447c893,56,4,3.7142857142857144,2.0
Commonwealth Ave at Kelton St,42.348358628170445,-71.13997217276847,15,ea78a31aab197a4a3785f99a4ffa3bc4,60,16,4.15625,2.0
Ashmont T Stop,42.2856944,-71.0641389,15,462d0294297e73b55fe0832dff6fe85f,47,2,3.7142857142857144,2.0
Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,19,3107dfaf0ecf92631330ea95572574e5,65,9,4.2368421052631575,2.0
Roslindale Village - South St,42.287072,-71.127754,15,d6596e565ed51ac0304bc1f4a6021c96,49,2,4.071428571428571,2.0
Mattapan T Stop,42.267902,-71.093641,15,69444b8637e1511806664a38a0b7244b,24,1,2.5,2.0
Lesley University,42.38674802045056,-71.11901879310608,15,352815b0fd48c554845e499609a51347,63,8,4.25,2.125
30 Dane St,42.38100143038052,-71.10402522613185,15,bdfa3124016a1bb07fd174dd8cc0de68,60,6,4.277777777777778,2.1666666666666665
699 Mt Auburn St,42.37500235137831,-71.14871613699506,24,31096eb4b1faaa246a35dfdd5a6492c8,45,3,4.175,2.0
Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735,15,42ba6b981a6676f8ffcf6e132ca1c01b,65,18,4.2,2.0
Gallivan Blvd at Adams St,42.28297567840305,-71.05466698296368,15,78972a7024b9bd851a61a1964abff721,36,1,3.5,2.0
Dorchester Ave at Gillette Park,42.34404051001636,-71.05737626552582,15,f835af662d1afc1ee1ae8ccfbab70aee,62,13,4.0,2.1923076923076925
Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391,22,fbe59f14d93321aa504adc16f1081148,57,7,4.0588235294117645,2.0714285714285716
Commonwealth Ave at Griggs St,42.34922469338298,-71.13275302578586,15,338bbc5f3f1adf47da56ad7518bbb48e,64,16,4.178571428571429,1.96875
MIT at Mass Ave / Amherst St,42.3581,-71.093198,27,c91bc9b7e63c282da005f7eac27f8d96,61,8,3.888888888888889,2.375
Central Square at Mass Ave / Essex St,42.36507,-71.1031,19,575e04966344a392bbbf9eccf09f029d,60,11,4.15,2.272727272727273
Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,17,b0f4189efee3fe8e880bfffcabfff93c,56,11,4.09375,2.0
Washington St at Brock St,42.3489528466951,-71.16031676530838,15,66d0f515f619b404c689211df256024f,55,6,4.147058823529412,2.1666666666666665
Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,14,52f7c777f0850cb03ceb546289c74649,53,4,3.8,2.0
University Park,42.36264779118595,-71.10006093978882,19,2073f8fbb163ff4e693cfad00f0dd64f,57,9,4.026315789473684,2.3333333333333335
Bunker Hill Community College,42.37408991426522,-71.06905996799469,23,feba1b6e8c43b983bf48479cbacec840,56,3,3.8846153846153846,2.0
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,14,3d5ed4d9f089974d5d0f0fc19ad17d9c,45,3,3.1666666666666665,1.6666666666666667
Columbia Rd at Ceylon St,42.309572,-71.0729,15,c2561905a4f6fad8c8bee1043bde9a6c,53,2,3.6,1.5
Troy Boston,42.343749,-71.062256,14,f0fc21e8403480413d2d2ac1d601d493,62,12,4.184210526315789,2.2083333333333335
Park Plaza at Charles St S.,42.35182806892068,-71.06781138111728,19,8cb2ba26cedf70bb3e3b115687a6dd89,62,15,4.138888888888889,2.1
Sydney St at Carson St,42.32039374304257,-71.05355408051764,19,1e47c96dfeb247da804d4beeed2a65bd,61,1,3.9,2.0
Museum of Science,42.36769018024484,-71.07116281986237,19,bf75e5d4343945db9675efcc60d1bf12,62,8,3.9642857142857144,2.0
Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304,19,246f58e0ae4db954e8dae72d11e19a81,40,5,3.3333333333333335,2.0
Mt Auburn,42.37478628706384,-71.13320231437683,19,8482b3ad353c1e6e9e317296f41eb064,46,6,3.9642857142857144,1.9166666666666667
Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378,19,1eeeb634d10232efadcbb8396fee8b88,35,6,3.966666666666667,2.0
Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,15,fa1b93d10ff350bd1e7469a1db231aa1,41,2,3.6,1.5
Sidney Research Campus/Erie Street at Waverly,42.35775309465199,-71.10393404960632,19,1f822fdb6173d31544d095e4fd981415,62,9,3.973684210526316,2.3333333333333335
Foss Park,42.39108438146733,-71.09039425849915,15,43eb3988f06f5b324fc9ae29d0a8faea,58,1,4.194444444444445,2.0
Kendall T,42.3624278429124,-71.08495473861694,23,69c98e683921460eecdb85a49a0f7b77,59,8,3.861111111111111,2.0
Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,15,bb5087ad1912ee66a53a0245ce50eef4,50,3,3.1666666666666665,1.6666666666666667
Roslindale Village - Washington St,42.28630716010807,-71.12820532182013,15,71c0c43e5adfcbc5754d8609d1c0f7ac,49,2,4.071428571428571,2.0
Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393,10,ea3c9ae5995449b37ad7db1727bd6dee,44,2,3.3333333333333335,2.0
Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696,19,8d970bd1cdb480aeebc10da260449e02,63,12,4.055555555555555,2.2083333333333335
Third at Binney,42.36544486137399,-71.08277142047882,15,bbdda846f9d9d1b155d4a3614ed7ecfe,58,9,3.9375,2.0
Warren St at Chelsea St,42.371848,-71.060292,23,a0fa77069d080a45d5e9290af54e9f46,60,1,4.0625,2.0
Broadway at Lynde St,42.39648358247693,-71.06546759905541,15,33589b679639c87a536ac881face7d50,38,2,3.0,2.0
One Memorial Drive,42.361619320766856,-71.0804355052096,19,eb7a7c91c78b8fb7982c1310d52be566,60,7,3.911764705882353,2.0
