ID,Station Name,Latitude,Longitude,Number of Bikes
177,175 N Harvard St,42.363796,-71.129164,18
178,Somerville City Hall,42.386844,-71.09812,19
179,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,17
180,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,15
181,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,19
182,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,23
183,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,23
184,Stony Brook T Stop,42.316966,-71.104374,19
185,Mass Ave T Station,42.34135615767354,-71.08336953450817,14
186,Charlestown Navy Yard,42.374124549426526,-71.05481199938367,23
187,Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232,17
188,Mattapan Library,42.2773889,-71.09325,15
189,Codman Square Library,42.2873611,-71.071111,17
190,One Brigham Circle,42.33392270136997,-71.10446508982932,15
191,Medford St at Charlestown BCYF,42.380429474494896,-71.06055721676967,19
192,Cross St at Hanover St,42.362811,-71.056067,19
193,Dudley Square - Bolling Building,42.329842993518085,-71.08386572459494,18
194,W Broadway at Dorchester St,42.33595897943309,-71.04622899561036,17
195,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,19
196,Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814623,23
197,Edgerly Education Center,42.38717463348314,-71.08714388528824,15
198,Stuart St at Berkeley St,42.34954403114251,-71.0724207387284,17
199,Congress St at Boston City Hall,42.36041774637169,-71.05752243543975,23
200,Central Square East Boston,42.37544912547037,-71.03918548682486,15
201,American Legion Hwy at Cummins Hwy,42.278811581565975,-71.11687703062671,15
202,Surface Rd at Summer St,42.35294569782581,-71.05656400803126,26
203,The Dimock Center,42.3193094317828,-71.09639923859504,16
204,Jamaica St at South St,42.3060456272408,-71.11570891001975,19
205,Centre St at W. Roxbury Post Office,42.28633199112775,-71.15344755369732,19
206,Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861,19
207,Spring St at Powell St,42.277484442008216,-71.16341467955863,19
