Station Name,Latitude,Longitude,Number of Bikes,Station ID
Dorchester Ave at Gillette Park,42.344040510016356,-71.05737626552582,15,f835af662d1afc1ee1ae8ccfbab70aee
Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391,22,fbe59f14d93321aa504adc16f1081148
Commonwealth Ave at Griggs St,42.34922469338298,-71.13275302578586,15,338bbc5f3f1adf47da56ad7518bbb48e
MIT at Mass Ave / Amherst St,42.3581,-71.093198,27,c91bc9b7e63c282da005f7eac27f8d96
Central Square at Mass Ave / Essex St,42.36507,-71.1031,19,575e04966344a392bbbf9eccf09f029d
Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,17,b0f4189efee3fe8e880bfffcabfff93c
Washington St at Brock St,42.3489528466951,-71.16031676530838,15,66d0f515f619b404c689211df256024f
Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,14,52f7c777f0850cb03ceb546289c74649
University Park,42.36264779118595,-71.10006093978882,19,2073f8fbb163ff4e693cfad00f0dd64f
Bunker Hill Community College,42.37408991426522,-71.06905996799469,23,feba1b6e8c43b983bf48479cbacec840
Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,14,3d5ed4d9f089974d5d0f0fc19ad17d9c
Columbia Rd at Ceylon St,42.309572,-71.0729,15,c2561905a4f6fad8c8bee1043bde9a6c
Troy Boston,42.343749,-71.062256,14,f0fc21e8403480413d2d2ac1d601d493
Park Plaza at Charles St S.,42.351828068920675,-71.06781138111728,19,8cb2ba26cedf70bb3e3b115687a6dd89
Sydney St at Carson St,42.32039374304257,-71.05355408051764,19,1e47c96dfeb247da804d4beeed2a65bd
Museum of Science,42.36769018024484,-71.07116281986237,19,bf75e5d4343945db9675efcc60d1bf12
Alewife MBTA at Steel Place,42.395588457167094,-71.14260613918304,19,246f58e0ae4db954e8dae72d11e19a81
Mt Auburn,42.37478628706384,-71.13320231437683,19,8482b3ad353c1e6e9e317296f41eb064
Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378,19,1eeeb634d10232efadcbb8396fee8b88
Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,15,fa1b93d10ff350bd1e7469a1db231aa1
Sidney Research Campus/Erie Street at Waverly,42.35775309465199,-71.10393404960632,19,1f822fdb6173d31544d095e4fd981415
Foss Park,42.39108438146733,-71.09039425849915,15,43eb3988f06f5b324fc9ae29d0a8faea
Kendall T,42.362427842912396,-71.08495473861694,23,69c98e683921460eecdb85a49a0f7b77
Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,15,bb5087ad1912ee66a53a0245ce50eef4
Roslindale Village - Washington St,42.28630716010807,-71.12820532182013,15,71c0c43e5adfcbc5754d8609d1c0f7ac
Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393,10,ea3c9ae5995449b37ad7db1727bd6dee
Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696,19,8d970bd1cdb480aeebc10da260449e02
Third at Binney,42.36544486137399,-71.08277142047882,15,bbdda846f9d9d1b155d4a3614ed7ecfe
Warren St at Chelsea St,42.371848,-71.060292,23,a0fa77069d080a45d5e9290af54e9f46
Broadway at Lynde St,42.39648358247693,-71.06546759905541,15,33589b679639c87a536ac881face7d50
Edwards Playground - Main St at Eden St,42.378965,-71.068607,19,f10d6a600af972c6b5d7953c49d5c654
One Memorial Drive,42.361619320766856,-71.0804355052096,19,eb7a7c91c78b8fb7982c1310d52be566
One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,19,fce261dec8cf0d2593b65a7e8f726597
JFK/UMass T Stop,42.32033973515723,-71.05118036270142,15,9f6fae7b1b3a673377b452474ca2bcf1
Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,15,582f82ed392b7b5c072a7bbe40a40dfb
Main St at Austin St,42.375603,-71.064608,11,1e356b3d262d3819ace481af4e2d4135
Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,19,8386693bdc273780efffd5d5eb9aed7c
Longwood Ave at Binney St,42.338629,-71.1065,15,eb276799b6ebc22ee82f33566eb778b7
